CITIES,INDIC_UR\TIME	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Latvia,Population on the 1st of January, total	:	2,667,870	2,656,958	2,606,176	2,565,854	2,529,543	2,501,660	2,479,870	2,458,403	2,439,445	2,377,062	2,364,254 e	2,345,768 de	:	2,319,203 d	2,306,434 d	2,294,590 d	2,281,305 d	2,270,894 d	2,261,294 d	:	2,070,371	2,044,813 e	2,023,825	2,001,468 e	1,986,096	1,968,957	1,950,116	1,934,379	:
Riga,Population on the 1st of January, total	909,135 e	900,455	889,741 e	863,657 e	843,552 e	824,988	810,172	:	786,612 e	776,008 e	762,505	756,627	747,157 de	739,232 de	735,241 d	731,762 d	727,578 d	722,485 d	697,272 de	713,016 d	673,433 e	658,637	649,853 e	643,615	643,368 e	641,007	639,342	641,201	632,479	:
Liepaja,Population on the 1st of January, total	114,337 e	113,826	112,154 e	105,558	101,352	96,294	94,165	:	91,444 e	90,416 e	88,974	88,473	87,505 de	86,985 de	86,476 d	86,264 d	85,915 d	85,477 d	81,748 de	84,747 d	78,913 e	76,737	74,812 e	73,469	71,926 e	71,125	70,610	69,406	68,912	:
Jelgava,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	66,375	:	:	:	:	:	:	:	:	:	60,923 e	59,511	58,332 e	57,773	57,332 e	57,180	57,028	56,702	55,960	:
Daugavpils,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	115,888	114,481 e	113,409 de	112,609 de	111,231 de	110,379 de	:	:	101,705 de	:	95,962 e	93,213	90,879 e	89,184	87,403 e	86,435	85,540	84,288	82,879	:
Lithuania,Population on the 1st of January, total	:	3,701,968 e	3,746,860	3,693,929 e	3,671,296 e	3,642,991 e	3,615,212 e	3,588,013 e	3,562,261 e	3,536,401 e	3,512,074 e	3,486,998 e	3,475,586 e	3,462,553 e	3,445,857 e	3,425,324 e	:	:	3,366,357	:	:	3,052,588 e	:	2,971,905 e	2,943,472 e	2,921,262 e	2,888,558 e	2,847,904 e	2,808,901 e	:
Vilnius,Population on the 1st of January, total	605,533 e	607,346 e	605,674 e	598,310 e	591,116 e	584,171 e	578,327 e	571,164 e	565,881 e	562,353 e	558,816 e	554,281 e	553,373 e	553,232 e	552,800 e	553,061 e	553,553 e	554,409 e	555,733 e	558,165 e	543,191 e	536,127 e	533,279 e	537,152 e	539,707 e	542,626 e	543,493 e	545,280 e	547,484 e	:
Kaunas,Population on the 1st of January, total	433,938 e	435,393 e	435,233 e	430,388 e	423,978 e	416,605 e	408,706 e	402,061 e	395,555 e	390,623 e	385,620 e	379,706 e	376,575 e	373,671 e	368,913 e	364,059 e	360,637 e	358,111 e	355,586 e	352,279 e	329,542 e	317,319 e	310,773 e	306,888 e	304,012 e	301,357 e	297,846 e	292,691 e	288,363 e	:
Panevezys,Population on the 1st of January, total	127,310 e	128,504 e	129,411 e	128,852 e	127,934 e	127,060 e	126,086 e	125,172 e	123,885 e	122,498 e	121,046 e	119,808 e	119,417 e	118,824 e	117,593 e	116,247 e	115,315 e	114,582 e	113,653 e	112,619 e	103,101 e	100,027 e	98,469 e	97,343 e	96,328 e	95,202 e	93,598 e	91,054 e	88,678 e	:
Alytus,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	63,630 e	60,302 e	58,515 e	57,281 e	56,357 e	55,614 e	54,431 e	52,792 e	51,534 e	:
Klaipeda,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	193,220 e	:	:	190,187 e	:	:	:	184,657 e	:	168,134 e	162,898 e	160,142 e	158,541 e	157,305 e	156,141 e	154,326 e	151,309 e	148,908 e	:
Siauliai,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	134,032 e	:	:	131,181 e	:	:	:	127,059 e	:	114,506 e	109,748 e	107,689 e	106,470 e	105,610 e	104,569 e	102,981 e	101,214 e	100,575 e	:
Luxembourg (Grand Duchy),Population on the 1st of January, total	:	384,400	389,800	395,200	400,900	406,600	412,800	418,300	423,700	429,200 e	435,700 e	439,539 be	444,050	448,300	451,600	461,230	469,086	476,187	483,799	493,500	:	:	:	:	:	:	:	:	:	:
Luxembourg,Population on the 1st of January, total	:	75,800	:	:	:	:	77,401	:	:	:	:	76,700	81,659	78,300	79,400	80,200	82,500	83,800	85,500	88,600	90,848	95,058	99,852	103,641	107,247	111,287	115,227	:	:	:
Hungary,Population on the 1st of January, total	:	10,373,153 e	10,373,647	10,365,035	10,350,010 e	10,336,700	10,321,229 e	10,301,247 e	10,279,724 e	10,253,416	10,221,644	10,198,315	10,174,853	:	:	10,097,549	10,076,581	10,066,158	10,045,401	10,030,975	10,014,324	9,937,628	9,931,925	9,908,798	9,877,365	9,855,571	9,830,485	9,797,561	9,778,371	:
Budapest,Population on the 1st of January, total	2,016,774	2,016,458	2,012,591	2,003,740	1,989,189	1,921,600 e	1,896,403 e	1,873,809	1,846,650 e	1,821,394	1,791,098	1,777,921	1,739,569	1,719,342	:	1,697,343	1,698,106	1,696,128	1,702,297	1,712,210	1,721,556	1,729,040	1,727,495	1,735,711	1,744,665	1,757,618	1,759,407	1,752,704	1,749,734	:
Miskolc,Population on the 1st of January, total	196,442	195,433	195,155	195,204	195,254	189,098	188,404 e	187,744	186,943	186,227	186,355	184,125	182,408	180,282	:	175,701	174,416	172,637	171,096	170,234	169,226	167,754	164,973	162,905	161,265	159,554	158,101	157,177	155,650	:
Nyíregyháza,Population on the 1st of January, total	114,152	115,089	115,942	116,760	117,616	115,376	116,096	116,943	116,945	117,322	117,353	118,795	117,002	116,899	:	116,336	115,954	116,298	116,874	117,597	117,832	119,746	118,192	118,185	118,164	118,125	118,058	117,689	117,121	:
Pécs,Population on the 1st of January, total	170,039	170,513	171,521	173,031	174,135	165,815	165,153 e	164,445	163,548	163,013	162,227	162,498	159,794	158,942	:	156,567	156,116	156,649	156,664	156,974	157,680	156,049	149,992	147,719	146,581	145,985	145,347	144,675	144,188	:
Debrecen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	211,034	:	:	:	204,297	204,083	204,124	205,084	206,225	207,270	211,320	205,076	204,333	203,914	203,506	203,059	201,981	202,214	:
Szeged,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	168,273	:	:	:	162,889	163,259	164,883	167,039	169,030	169,713	168,048	162,183	161,837	161,921	162,593	162,621	161,137	161,122	:
Gyõr,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	129,412	:	:	:	128,279	128,265	128,808	130,476	130,476	130,478	129,527	128,193	128,567	128,902	129,372	129,568	129,301	130,094	:
Kecskemét,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	107,749	:	:	:	108,286	108,835	109,847	110,316	111,428	112,233	111,411	111,264	111,863	112,071	111,836	111,724	110,813	110,638	:
Székesfehérvár,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	106,346	:	:	:	101,299	101,600	101,755	101,755	102,035	101,973	100,570	99,617	99,247	99,060	98,673	98,207	97,617	97,382	:
Szombathely,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	79,438	:	77,593	77,547	77,566	77,866	77,973	78,025	77,984	:
Szolnok,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	72,786	72,333	71,765	71,521	:
Tatabánya,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	66,791	66,362	65,849	65,633	:
Veszprém,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	60,761	60,392	59,919	59,754	:
Békéscsaba,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	60,334	60,126	59,732	59,357	:
Kaposvár,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	63,742	63,186	62,446	61,920	:
Eger,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	54,609	54,480	53,876	53,436	:
Dunaújváros,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	46,052	45,354	44,640	44,358	:
Zalaegerszeg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	58,959	58,829	58,154	57,780	:
Sopron,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	61,780	61,887	62,246	62,454	:
Malta,Population on the 1st of January, total	:	355,910	359,543	362,977	366,431	369,451	371,173	373,958	376,513	378,518	380,201	391,415 e	394,641 e	399,867 e	402,668 e	404,962 e	407,810 e	394,830 e	413,609 e	412,970 e	:	:	:	:	:	439,691 r	450,415 r	460,297	475,701	:
Valletta,Population on the 1st of January, total	:	359,543	:	:	:	:	:	:	:	:	:	207,155	207,862	208,542 e	209,422 e	200,379 e	201,347 e	195,052 e	203,960 e	203,250 e	:	:	:	201,559	:	212,885 r	218,960 r	224,437	233,246	:
Netherlands,Population on the 1st of January, total	:	15,010,445	15,129,150	15,239,182	15,341,553	15,424,122	15,493,889	15,567,107	15,654,192	15,760,225	15,863,950	15,987,075	16,105,285	16,192,572	16,258,032	16,305,526	16,334,210	16,357,992	16,405,399	16,485,787	16,574,989	16,655,799	16,730,348	16,779,575	16,829,289	16,900,726 b	16,979,120 b	:	:	:
Greater 's-Gravenhage,Population on the 1st of January, total	441,506	444,242	445,287	444,661	445,279	442,937	442,503	442,159	442,799	440,743	441,094	442,356	457,726	463,826	469,059	472,096	475,627	473,941	475,681	481,864	488,553	495,083	502,055	505,856	508,940	:	744,315 b	:	:	:
Greater Amsterdam,Population on the 1st of January, total	695,162	702,444	713,407	719,856	724,096	722,230	718,119	715,148	718,151	727,053	731,288	734,594	735,526	736,562	739,104	742,783	743,079	742,884	747,093	755,605	767,457	779,808	790,110	799,278	810,938	:	960,402 b	:	:	:
Greater Rotterdam,Population on the 1st of January, total	579,179	582,266	589,707	596,023	598,521	598,239	592,745	589,987	590,478	592,665	592,673	595,255	598,660	599,651	598,923	596,407	588,697	584,058	582,951	587,134	593,049	610,386	616,260	616,294	618,357	:	1,210,065 b	:	:	:
Greater Utrecht,Population on the 1st of January, total	230,358	231,231	232,705	234,170	234,106	235,625	234,254	233,951	232,744	232,718	233,667	256,420	260,625	265,151	270,244	275,258	280,949	288,401	294,737	299,891	307,081	311,367	316,275	321,916	328,164	:	434,777 b	:	:	:
Greater Eindhoven,Population on the 1st of January, total	191,467	192,895	193,966	195,267	196,130	196,963	197,374	197,766	198,339	199,877	201,728	203,397	204,776	206,118	207,870	208,455	209,172	209,699	210,333	212,269	213,809	216,036	217,225	218,433	220,920	:	269,061 b	:	:	:
Tilburg,Population on the 1st of January, total	156,421	158,846	160,618	162,398	163,383	164,368	164,380	183,002 b	185,714	190,559	193,116	195,819	197,358	197,917	198,767	199,068	200,380	201,259	202,091	203,464	204,853	206,240	207,580	208,527	210,267	:	212,915 b	:	:	:
Groningen,Population on the 1st of January, total	167,872	168,702	169,387	170,038	170,535	170,658	169,627	168,688	168,752	171,193	173,139	174,250	175,569	177,172	179,185	180,604	180,729	181,613	182,484	184,227	187,298	189,991	193,127	195,418	198,317	:	200,908 b	:	:	:
Enschede,Population on the 1st of January, total	146,010	146,509	147,199	147,349	147,624	148,034	147,832	147,912	148,360	148,814	149,505	150,449	151,346	152,321	152,989	153,679	154,377	154,476	154,753	156,071	157,052	157,838	158,048	158,627	158,586	:	158,289 b	:	:	:
Greater Arnhem,Population on the 1st of January, total	130,220	131,703	132,928	133,272	133,670	134,572	135,026	134,960	136,174	137,222	138,154	139,329	140,736	141,528	141,601	141,321	142,195	142,569	143,582	145,574	147,018	148,070	149,271	149,827	150,823	:	168,815 b	:	:	:
Greater Heerlen,Population on the 1st of January, total	94,046	94,344	95,001	95,347	95,794	96,274	96,015	96,143	95,685	95,367	95,147	95,149	95,004	93,969	93,523	92,542	91,499	90,537	89,671	89,356	89,236	89,212	89,016	88,747	88,259	:	199,324 b	:	:	:
Almere,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	136,157	:	:	158,902	165,106	170,704	175,007	178,466	180,924	183,270	185,746	188,160	190,655	193,163	195,213	196,013	:	198,077 b	:	:	:
Breda,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	159,042	:	:	163,427	164,397	166,035	168,054	169,709	170,349	170,960	171,916	173,299	174,599	176,401	178,140	179,623	:	181,349 b	:	:	:
Nijmegen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	151,864	:	:	154,616	156,198	157,466	158,215	159,522	160,907	161,251	161,817	162,963	164,223	165,182	166,382	168,292	:	172,082 b	:	:	:
Apeldoorn,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	152,860	:	:	154,859	155,741	156,000	156,064	156,051	155,564	155,108	155,332	155,726	156,199	156,961	157,315	157,545	:	159,050 b	:	:	:
Leeuwarden,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	88,762	:	:	90,516	91,284	91,354	91,749	91,817	92,342	92,864	93,498	94,073	94,838	95,321	95,949	107,342	:	107,868 b	:	:	:
Greater Sittard-Geleen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	95,243	:	94,535	94,024	93,691	:	118,598 b	:	:	:
Hilversum,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	84,573	:	85,537	86,017	86,426	:	87,822 b	:	:	:
Roosendaal,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	77,566	:	77,426	77,155	77,027	:	76,948 b	:	:	:
Greater Nissewaard,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	72,345	:	72,171	72,375	72,561	:	134,093 b	:	:	:
Purmerend,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	79,038	:	79,266	79,482	79,576	:	79,885 b	:	:	:
Alphen aan den Rijn,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	72,534	:	72,853	72,913	106,784	:	107,943 b	:	:	:
Bergen op Zoom,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	65,845	66,074	66,130	66,287	66,419	:	66,230 b	:	:	:
Gouda,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	71,122	71,047	71,235	70,904	70,941	:	71,196 b	:	:	:
Hoorn,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	70,252	70,697	71,254	71,360	71,703	:	72,172 b	:	:	:
Greater Middelburg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	92,314 b	:	:	:
Greater Haarlem,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	147,831	147,097	147,343	146,739	147,015	146,960	147,640	148,191	149,579	150,670	151,818	153,093	155,147	:	274,620 b	:	:	:
Zaanstad,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	137,669	139,464	139,774	139,817	140,270	141,402	142,863	144,055	145,332	146,940	148,281	149,622	150,598	:	152,419 b	:	:	:
's-Hertogenbosch,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	131,697	132,501	133,511	133,978	134,717	135,648	136,481	137,775	139,607	140,786	141,893	142,817	143,733	:	151,635 b	:	:	:
Amersfoort,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	129,720	131,221	132,851	134,906	136,999	139,054	141,211	143,212	144,862	146,592	148,250	149,662	150,897	:	153,586 b	:	:	:
Maastricht,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	122,005	121,982	122,183	121,456	120,175	119,038	118,004	118,286	118,533	119,664	121,050	121,819	122,488	:	122,473 b	:	:	:
Greater Leiden,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	117,170	117,689	118,702	118,563	118,069	117,485	116,878	116,787	117,123	117,915	118,748	118,748	121,163	:	262,145 b	:	:	:
Haarlemmermeer,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	142,788	143,374	143,943	144,153	144,060	:	144,505 b	:	:	:
Zoetermeer,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	121,532	121,911	122,331	123,092	123,561	:	124,088 b	:	:	:
Zwolle,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	109,000	109,955	110,880	111,900	113,078	114,635	116,365	117,703	119,030	120,355	121,527	122,562	123,159	:	124,897 b	:	:	:
Greater Ede,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	103,708	104,771	105,495	106,416	107,048	107,500	107,686	107,623	107,756	108,285	108,763	109,823	110,656	:	150,224 b	:	:	:
Deventer,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	87,526	:	:	:	:	:	:	98,523	98,737	98,672	98,581	98,322	:	98,871 b	:	:	:
Greater Alkmaar,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	93,390	:	:	:	:	:	:	93,861	93,936	94,269	94,505	94,866	:	184,235 b	:	:	:
Venlo,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	91,780	:	:	:	:	:	:	100,301	99,793	100,027	100,159	100,428	:	100,352 b	:	:	:
Helmond,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	84,233	:	:	:	:	:	:	88,291	88,560	88,801	89,023	89,256	:	90,133 b	:	:	:
Hengelo,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	80,962	:	:	:	:	:	:	80,772	80,747	80,939	80,952	80,957	:	81,051 b	:	:	:
Almelo,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	71,729	:	:	:	:	:	:	72,602	72,599	72,757	72,729	72,459	:	72,436 b	:	:	:
Lelystad,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	68,555	:	:	:	:	:	:	74,628	75,111	75,312	75,778	76,142	:	76,777 b	:	:	:
Oss,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	90,006 b	:	:	:
Assen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	67,053 b	:	:	:
Veenendaal,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	63,810 b	:	:	:
Greater Heemskerk,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	92,965 b	:	:	:
Greater Soest,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	70,013 b	:	:	:
Austria,Population on the 1st of January, total	:	7,795,786	7,867,796	7,962,003	8,015,027	8,039,865	8,054,802	8,067,812	8,075,425	7,992,323	8,011,566	8,032,875	8,083,797	:	8,140,122	8,201,359	8,254,298	8,282,984	8,318,592	8,355,260	:	:	:	8,451,860	8,507,786	:	:	:	:	:
Wien,Population on the 1st of January, total	:	1,539,848	:	:	:	:	1,595,402 e	1,609,631 ep	1,606,843 ep	1,608,144 ep	1,615,438 ep	1,550,123	:	:	1,598,626	1,632,569	1,652,449	1,661,246	1,674,909	1,687,271	:	:	:	1,741,246	1,766,746	:	:	:	:	:
Graz,Population on the 1st of January, total	:	237,810	:	:	:	:	:	:	:	:	:	226,244	:	:	235,477	241,298	244,997	247,624	250,738	253,994	:	:	:	265,778	269,997	:	:	:	:	:
Linz,Population on the 1st of January, total	:	203,044	:	:	:	:	:	:	:	:	:	183,504	:	:	185,530	186,781	187,936	188,393	188,593	189,122	:	:	:	191,501	193,814	:	:	:	:	:
Salzburg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	142,662	:	:	145,680	145,124	146,484	146,845	147,169	147,732	:	:	:	145,871	146,631	:	:	:	:	:
Innsbruck,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	113,392	:	:	114,561	114,438	115,643	116,370	117,150	118,035	:	:	:	122,458	124,579	:	:	:	:	:
Klagenfurt,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	95,450	96,640	:	:	:	:	:
Poland,Population on the 1st of January, total	:	38,183,160	38,309,226	38,418,108	38,504,707	38,580,597	38,609,399	38,639,341	38,659,979	38,666,983	38,253,955 e	38,242,197 e	38,230,080	38,190,608 e	38,173,835 e	38,157,055 e	38,125,479 e	38,115,641 e	38,135,876 e	38,167,329 e	38,529,866 de	38,538,447 de	38,533,299 de	38,495,659 de	38,478,602 de	:	:	:	:	:
Warszawa,Population on the 1st of January, total	:	1,655,272	1,644,515	:	:	1,635,112	1,628,505	1,624,843	1,618,468	1,615,369	1,689,171 e	1,688,972 e	1,689,201	1,689,559 e	1,692,854 e	1,697,596 e	1,702,139 e	1,706,624 e	1,709,781 e	1,714,446 e	:	1,708,491 de	1,715,517 de	1,724,404 de	1,735,442 de	:	:	:	:	:
Lódz,Population on the 1st of January, total	:	854,261	838,367	:	:	823,215	817,983	812,317	806,728	800,110	798,418 e	791,727 e	789,318	779,129 e	774,004 e	767,628 e	760,251 e	753,192 e	747,152 e	742,387 e	:	725,055 de	718,960 de	711,332 de	706,004 de	:	:	:	:	:
Kraków,Population on the 1st of January, total	:	746,627	744,032	:	:	744,987	740,675	740,537	740,666	738,150	758,715 e	757,942 e	758,544	757,685 e	757,430 e	756,629 e	756,267 e	756,583 e	754,624 e	755,000 e	:	759,137 de	758,334 de	758,992 de	761,873 de	:	:	:	:	:
Wroclaw,Population on the 1st of January, total	:	638,986	640,663	:	:	641,974	640,600	639,399	637,877	636,765	640,614 e	640,804 e	640,367	637,548 e	636,268 e	635,932 e	634,630 e	632,930 e	632,162 e	632,146 e	:	631,235 de	631,188 de	632,067 de	634,487 de	:	:	:	:	:
Poznan,Population on the 1st of January, total	:	587,971	582,919	:	:	581,171	590,656	580,046	578,235	576,899	582,254 e	579,343 e	578,886	574,125 e	570,778 e	567,882 e	564,951 e	560,932 e	557,264 e	554,221 e	:	553,564 de	550,742 de	548,028 de	545,680 de	:	:	:	:	:
Gdansk,Population on the 1st of January, total	:	464,308	461,680	:	:	463,019	462,336	461,354	458,988	457,937	462,995 e	461,885 e	461,334	461,011 e	459,072 e	458,053 e	456,658 e	455,717 e	455,581 e	456,591 e	:	460,517 de	460,427 de	461,531 de	461,489 de	:	:	:	:	:
Szczecin,Population on the 1st of January, total	:	410,331	416,402	:	:	418,156	418,826	418,985	416,988	416,619	416,657 e	415,748 e	415,399	414,032 e	411,900 e	411,119 e	409,068 e	407,811 e	406,941 e	406,307 e	:	409,596 de	408,913 de	408,172 de	407,180 de	:	:	:	:	:
Bydgoszcz,Population on the 1st of January, total	:	377,807	383,568	:	:	386,056	386,592	386,268	386,855	386,273	375,676 e	374,352 e	373,804	370,245 e	368,235 e	366,074 e	363,468 e	361,222 e	358,928 e	357,650 e	:	363,020 de	361,254 de	359,428 de	357,652 de	:	:	:	:	:
Lublin,Population on the 1st of January, total	:	339,901	350,377	:	:	354,552	355,415	356,010	356,251	356,024	358,933 e	357,156 e	357,110	356,563 e	355,998 e	354,967 e	353,483 e	351,806 e	350,462 e	349,440 e	:	348,567 de	347,678 de	343,598 de	341,722 de	:	:	:	:	:
Katowice,Population on the 1st of January, total	:	367,014	359,887	:	:	351,521	350,974	348,974	345,934	343,158	330,625 e	328,103 e	327,222	322,285 e	319,904 e	317,220 e	314,500 e	312,201 e	309,621 e	308,548 e	:	309,304 de	307,233 de	304,362 de	301,834 de	:	:	:	:	:
Górnoslaski Zwiazek Metropolitalny,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	1,927,787 de	1,917,482 de	1,904,611 de	1,893,271 de	:	:	:	:	:
Bialystok,Population on the 1st of January, total	:	263,884	274,095	:	:	278,489	280,592	282,530	283,937	285,030	289,233 e	290,091 e	291,383	291,931 e	292,150 e	291,823 e	294,830 e	294,143 e	294,153 e	294,685 e	:	294,298 de	294,921 de	295,282 de	295,459 de	:	:	:	:	:
Kielce,Population on the 1st of January, total	:	210,699	213,651	:	:	213,777	213,748	212,596	212,383	211,729	213,469 e	212,763 e	212,429	210,639 e	209,455 e	208,193 e	207,188 e	205,902 e	205,094 e	204,835 e	:	201,815 de	200,938 de	199,870 de	198,857 de	:	:	:	:	:
Torun,Population on the 1st of January, total	:	199,527	201,806	:	:	204,660	205,120	205,840	206,158	206,083	210,194 e	211,269 e	211,243	208,936 e	208,278 e	208,007 e	207,190 e	206,619 e	206,013 e	205,718 e	:	204,921 de	204,299 de	203,447 de	203,158 de	:	:	:	:	:
Olsztyn,Population on the 1st of January, total	:	158,865	164,882	:	:	167,898	168,711	169,878	170,904	172,559	172,843 e	172,652 e	173,102	173,075 e	173,850 e	174,473 e	174,941 e	175,710 e	176,142 e	176,457 e	:	175,420 de	174,641 de	174,675 de	173,831 de	:	:	:	:	:
Rzeszów,Population on the 1st of January, total	:	148,560	156,739	:	:	160,271	160,837	161,267	162,049	162,323	160,779 e	160,431 e	160,376	159,088 e	159,020 e	158,539 e	163,508 e	166,454 e	170,653 e	172,770 e	:	180,031 de	182,028 de	183,108 de	185,123 de	:	:	:	:	:
Opole,Population on the 1st of January, total	:	126,404	129,554	:	:	130,219	130,555	130,119	129,553	129,469	130,427 e	130,091 e	129,946	128,827 e	128,864 e	128,268 e	127,602 e	126,748 e	126,203 e	125,792 e	:	122,439 de	121,576 de	120,146 de	119,574 de	:	:	:	:	:
Gorzów Wielkopolski,Population on the 1st of January, total	:	121,549	124,551	:	:	124,779	125,289	125,736	126,019	126,406	125,767 e	125,818 e	125,914	125,780 e	125,578 e	125,416 e	125,504 e	125,411 e	125,157 e	125,383 e	:	124,554 de	124,609 de	124,344 de	124,145 de	:	:	:	:	:
Zielona Góra,Population on the 1st of January, total	:	111,910	115,134	:	:	116,329	117,364	117,850	118,182	118,786	118,103 e	118,268 e	118,293	118,730 e	118,516 e	118,221 e	118,115 e	117,523 e	117,557 e	117,503 e	:	119,197 de	119,023 de	118,405 de	118,920 de	:	:	:	:	:
Jelenia Góra,Population on the 1st of January, total	:	92,569	93,013	:	:	93,460	93,570	93,400	93,901	93,407	90,130 e	89,560 e	89,339	88,034 e	87,643 e	87,017 e	86,503 e	85,782 e	85,378 e	84,564 e	:	83,463 de	82,846 de	81,985 de	81,408 de	:	:	:	:	:
Nowy Sacz,Population on the 1st of January, total	:	75,206	80,482	:	:	82,301	82,877	83,290	83,754	83,911	84,370 e	84,453 e	84,477	84,399 e	84,463 e	84,729 e	84,487 e	84,468 e	84,475 e	84,556 e	:	84,325 de	84,129 de	83,943 de	83,853 de	:	:	:	:	:
