CITIES,INDIC_UR\TIME	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Praha,Population on the 1st of January, total	1,214,885	1,214,174	1,216,889	1,217,315	1,217,023	1,214,584	1,204,953	1,204,953	1,200,455	1,193,270	1,186,855	1,169,106	1,160,118	1,161,938	1,170,571	:	:	1,212,097	1,233,211	1,249,026	1,257,158	1,241,664	1,246,780	1,243,201	1,259,079	1,267,449 d	1,280,508	1,294,513	:	:
Brno,Population on the 1st of January, total	390,986	388,296	388,454	389,999	390,112	389,965	387,570	387,570	385,866	384,727	383,569	376,172	373,272	370,505	367,729	:	:	368,533	370,592	371,399	371,371	378,965	378,327	377,508	377,440	377,028 d	377,973	379,527	:	:
Ostrava,Population on the 1st of January, total	331,219	327,371	327,413	327,055	326,242	325,670	323,870	323,870	323,177	322,111	321,263	316,744	315,442	314,102	311,402	:	:	308,374	307,767	306,006	303,609	299,622	297,421	295,653	294,200	292,681 d	291,634	290,450	:	:
Plzen,Population on the 1st of January, total	175,550	173,791	173,218	173,077	173,082	172,600	170,449	171,267	170,227	169,237	168,361	166,118	165,218	164,703	162,627	:	:	165,238	169,273	169,935	168,808	167,302	167,472	168,034	169,033	169,858 d	170,548	170,936	:	:
Ústí nad Labem,Population on the 1st of January, total	106,463	98,178	99,920	99,654	97,290 b	97,248	97,041	97,041	96,906	96,493	96,070	95,436	94,871	94,544	93,859	:	:	94,960	95,289	95,477	95,464	94,258	93,747	93,523	93,409	93,248 d	92,984	93,040	:	:
Olomouc,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	102,607	:	:	100,752	:	:	100,373	100,373	100,362	100,233	99,529	99,471	99,489	99,809	100,154 d	100,378	100,494	:	:
Liberec,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	99,102	:	:	97,400	:	:	99,721	100,914	101,625	101,865	102,005	102,113	102,301	102,562	103,288 d	103,853	103,979	:	:
Ceské Budejovice,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	97,339	:	:	94,622	:	:	95,071	94,936	94,865	94,754	93,620	93,467	93,253	93,285	93,513 d	93,470	93,863	:	:
Hradec Králové,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	97,155	:	:	94,694	:	:	94,252	94,497	94,493	94,318	93,490	93,035	92,904	92,808	92,891 d	92,929	92,917	:	:
Pardubice,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	90,889	:	:	88,415	:	:	89,245	89,892	90,077	90,401	89,552	89,467	89,432	89,693	89,638 d	90,044	90,335	:	:
Zlín,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	80,854	:	:	78,599	:	:	76,140 e	75,860	75,714	75,469	75,660	75,555	75,278	75,112	75,171 d	75,117	74,947	:	:
Kladno,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	71,132	:	:	69,355	:	:	69,675	69,906	69,938	70,665	68,682	68,551	68,519	68,552	68,466 d	68,660	68,804	:	:
Karlovy Vary,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	53,358	:	:	51,537	:	:	51,202	51,459	51,320	51,115	50,594	50,172	49,864	49,781	49,326 d	49,046	48,776	:	:
Jihlava,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	50,702	:	:	49,865	:	:	50,795	51,143	51,222	51,154	50,669	50,598	50,510	50,521	50,714 d	50,559	50,724	:	:
Havírov,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	84,033	83,558	82,896	82,022	78,503	77,371	76,109	75,049	74,101 d	73,274	72,382	:	:
Most,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	67,543	67,438	67,518	67,466	67,058	67,490	67,332	67,089	67,002 d	66,768	66,644	:	:
Karviná,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	62,881	62,661	61,948	60,679	58,833	57,842	56,848	55,985	55,163 d	54,413	53,522	:	:
Chomutov-Jirkov,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	70,806	70,820	70,718	71,334	69,889	69,417	69,214	68,842	68,545 d	68,334	68,132	:	:
Denmark,Population on the 1st of January, total	:	5,146,469	5,162,126	5,180,614	5,196,642	5,215,718	5,251,027	5,275,121	5,294,860	5,313,577	5,330,020	5,349,212	5,368,354	5,383,507	5,397,640	:	:	:	:	:	:	5,560,628	5,580,516	5,602,628	:	:	:	:	:	:
København,Population on the 1st of January, total	:	464,773	464,566	466,129	467,253	471,300	476,751	483,658	487,969	491,082	495,699	499,148	500,531	501,285	501,664	:	:	:	:	:	:	539,542	549,050	559,440	:	:	:	:	:	:
Århus,Population on the 1st of January, total	:	264,136	267,873	271,272	274,535	277,477	279,759	281,396	282,137	283,673	284,846	286,668	288,837	291,258	293,510	:	:	:	:	:	:	310,956	314,545	319,094	:	:	:	:	:	:
Odense,Population on the 1st of January, total	:	177,639	179,487	180,799	181,824	182,617	183,564	184,146	184,224	183,584	183,912	183,691	183,628	184,308	185,206	:	:	:	:	:	:	190,245	191,610	193,370	:	:	:	:	:	:
Aalborg,Population on the 1st of January, total	:	155,664	156,614	157,270	158,141	159,056	159,980	160,726	160,682	160,937	161,161	161,661	162,264	162,521	163,231	:	:	:	:	:	:	199,188	201,142	203,448	:	:	:	:	:	:
Germany,Population on the 1st of January, total	:	79,753,227	80,274,564	80,974,632	81,338,093	81,538,603	81,817,499	82,012,162	82,057,379	82,037,011	82,163,475	82,440,309	82,536,680	82,531,671	82,531,671	82,500,849	82,437,995	82,314,906	82,217,837	82,002,356	81,802,257	81,751,602	80,327,900	80,523,746	80,767,463	81,197,537	82,175,684	82,521,653	82,792,351	:
Berlin,Population on the 1st of January, total	:	:	3,465,748	:	:	3,472,009	3,458,760	3,458,763	3,425,759	3,386,667	3,382,169	3,388,434	3,392,425	3,388,477	3,388,477	3,387,828	3,395,189	3,404,037	3,416,255	3,431,675	3,442,675	3,460,725	3,326,002	3,375,222	3,421,829	3,469,849	3,520,031	3,574,830	3,613,495	:
Hamburg,Population on the 1st of January, total	:	:	1,688,785	:	:	1,705,872	1,707,990	1,707,986	1,704,731	1,700,089	1,715,392	1,726,363	1,728,806	1,734,083	1,734,083	1,734,830	1,743,627	1,754,182	1,770,629	1,772,100	1,774,224	1,786,448	1,718,187	1,734,272	1,746,342	1,762,791	1,787,408	1,810,438	1,830,584	:
